Ragam  , Song  ,Movie Name  ,
Bhageshri  , | S G2 M1 D2 N2 S | S N2 D2 M1 P D2 G2 M1 R2 S  ,  ,
Bhageshri  , Aamani Paadave , Geethanjali (Telugu) ,
Bhageshri  , Eduthu Naan Vidava En Paatai  , Pudhu Pudhu Arthangal  ,
Bhageshri  , Ingeyum Engeyum  , Sathya (By Legendary singer Lata Mangeshkar) ,
Bhageshri  , Kaala Kaala Sangamamo  , Ezhumalaiyan Magimai  ,
Bhageshri  , Kaaviyam Paadava  , Idhayathai Thirudaathe  ,
Bhageshri  , Mazhai Varudhu Mazhai Varudhu  , Raja Kaiyya Vacha (soft stunner in aggressive kanta nadai) ,
Bhageshri  , Melatha Mella Thattu , Aruvadai Naal ,
Bhageshri  , Roja Thottam , Alai Osai ,
Bhageshri  , Rokkam Irukkira Makkal Manasula  , Kaasi     ,
Bhageshri  , Singalathu Chinnakuyile  , Punnagai Mannan (especially the charanams) ,
Bhageshri  , Thaen Mozhi Endhan Thaen Mozhi , Solla Thudikkudhu Manasu ,
Bhageshri  , Unnaiyum Ennaiyum Katti Izhukudhadi , Aalappirandhavan ,
Bhargavi  , S G2 M1 P D1 N3 S  I  S N3 D1 P M1 G2 S , (Keeravani Sans Ri2 !) ,
Bhargavi  , Hey Raasathi Rosapoo  , En Uyir Thozhan ,
Bhavapriya  , | S R1 G2 M2 P D1 N2 S | S N2 D1 P M2 G2 R1 S  , (the raga creates gloomy effect !) ,
Bhavapriya , Anuraaga Yenaithu , Nee Nana Gellalaare (Kannada) ,
Bhavapriya  , Kandupudichen Kandupudichen  , Guru Sishyan  ,
Bhimpalasi , | N2 S G2 M1 P N2 S | S N2 D2 P M1 G2 R2 S  , (Hindustani counterpart of Abheri) ,
Bhimpalasi , Vasantha Kala Kolangal , Thyagam (eternal song) ,
Bilahari  , | S R2 G3 P D2 S | S N3 D2 P M1 G3 R2 S  , (raga evokes majestic feel !) ,
Bilahari , Ennodu Potti Ittu Jeyichavan Yaarumillae , Thalaattu ,
Bilahari , Neethone Paadenu Sangeetham , Rudraveena (Telugu) ,
Bilahari  , Koondalile Megam Vandhu  , Balanagamma  ,
Bilahari  , Maaman Veedu  , Ellam Inba Mayam  ,
Bilahari  , Nee Onru Thaana Sangeethama  , Unnal Mudiyum Thambi  ,
Brindhavana Saranga  , | S R2 M1 P N3 S | S N2 P M1 G2 R2 S  ,  ,
Brindhavana Saranga , Aakaashamulo , Swarna Kamalam (Telugu) ,
Brindhavana Saranga , Chinnanjiru  , Amudha Ganam ,
Brindhavana Saranga , Devi Durga Devi , Sankeerthana (Telugu) ,
Brindhavana Saranga  , Dheivangal Kan Paarthadhu , Pudhiya Ragam  ,
